mechanism,p,threshold,bonus,audit_pi,side_interest,strategy,report,expected_payoff,deviation_gain,audit_score_variance
separated_audit,0.1,0.3,0,0.2,4,truthful,0.1,0.9099999999999999,0.0,3.6003999999999996
separated_audit,0.1,0.3,0,0.2,4,inflated,0.25,0.8875,-0.022499999999999964,3.263125
separated_audit,0.1,0.3,0,0.2,4,deflated,0,0.9,-0.009999999999999898,3.69
separated_audit,0.1,0.3,0,0.2,4,threshold,0.3,4.87,3.96,3.0996000000000006
separated_audit,0.1,0.3,0,0.2,4,best_grid,0.3,4.87,3.96,3.0996000000000006
coupled_winner,0.1,0.3,0,1,0,truthful,0.1,0.0,0.0,0.05760000000000021
coupled_winner,0.1,0.3,0,1,0,inflated,0.25,0.0,0.0,0.022500000000000075
coupled_winner,0.1,0.3,0,1,0,deflated,0,0.0,0.0,0.08999999999999997
coupled_winner,0.1,0.3,0,1,0,threshold,0.3,0.87,0.87,0.01440000000000008
coupled_winner,0.1,0.3,0,1,0,best_grid,0.3,0.87,0.87,0.01440000000000008
coupled_audit,0.1,0.3,0,1,0,truthful,0.1,0.9099999999999999,0.0,0.05760000000000021
coupled_audit,0.1,0.3,0,1,0,inflated,0.25,0.8875,-0.022499999999999964,0.022500000000000075
coupled_audit,0.1,0.3,0,1,0,deflated,0,0.9,-0.009999999999999898,0.08999999999999997
coupled_audit,0.1,0.3,0,1,0,threshold,0.3,0.87,-0.039999999999999925,0.01440000000000008
coupled_audit,0.1,0.3,0,1,0,best_grid,0.1,0.9099999999999999,0.0,0.05760000000000021
separated_audit,0.1,0.3,0,1,0,truthful,0.1,0.9099999999999999,0.0,0.05760000000000021
separated_audit,0.1,0.3,0,1,0,inflated,0.25,0.8875,-0.022499999999999964,0.022500000000000075
separated_audit,0.1,0.3,0,1,0,deflated,0,0.9,-0.009999999999999898,0.08999999999999997
separated_audit,0.1,0.3,0,1,0,threshold,0.3,0.87,-0.039999999999999925,0.01440000000000008
separated_audit,0.1,0.3,0,1,0,best_grid,0.1,0.9099999999999999,0.0,0.05760000000000021
coupled_winner,0.1,0.3,0,1,0.25,truthful,0.1,0.0,0.0,0.05760000000000021
coupled_winner,0.1,0.3,0,1,0.25,inflated,0.25,0.0,0.0,0.022500000000000075
coupled_winner,0.1,0.3,0,1,0.25,deflated,0,0.0,0.0,0.08999999999999997
coupled_winner,0.1,0.3,0,1,0.25,threshold,0.3,0.87,0.87,0.01440000000000008
coupled_winner,0.1,0.3,0,1,0.25,best_grid,0.3,0.87,0.87,0.01440000000000008
coupled_audit,0.1,0.3,0,1,0.25,truthful,0.1,0.9099999999999999,0.0,0.05760000000000021
coupled_audit,0.1,0.3,0,1,0.25,inflated,0.25,0.8875,-0.022499999999999964,0.022500000000000075
coupled_audit,0.1,0.3,0,1,0.25,deflated,0,0.9,-0.009999999999999898,0.08999999999999997
coupled_audit,0.1,0.3,0,1,0.25,threshold,0.3,0.87,-0.039999999999999925,0.01440000000000008
coupled_audit,0.1,0.3,0,1,0.25,best_grid,0.1,0.9099999999999999,0.0,0.05760000000000021
separated_audit,0.1,0.3,0,1,0.25,truthful,0.1,0.9099999999999999,0.0,0.05760000000000021
separated_audit,0.1,0.3,0,1,0.25,inflated,0.25,0.8875,-0.022499999999999964,0.022500000000000075
separated_audit,0.1,0.3,0,1,0.25,deflated,0,0.9,-0.009999999999999898,0.08999999999999997
separated_audit,0.1,0.3,0,1,0.25,threshold,0.3,1.12,0.2100000000000002,0.01440000000000008
separated_audit,0.1,0.3,0,1,0.25,best_grid,0.3,1.12,0.2100000000000002,0.01440000000000008
coupled_winner,0.1,0.3,0,1,1,truthful,0.1,0.0,0.0,0.05760000000000021
coupled_winner,0.1,0.3,0,1,1,inflated,0.25,0.0,0.0,0.022500000000000075
coupled_winner,0.1,0.3,0,1,1,deflated,0,0.0,0.0,0.08999999999999997
coupled_winner,0.1,0.3,0,1,1,threshold,0.3,0.87,0.87,0.01440000000000008
coupled_winner,0.1,0.3,0,1,1,best_grid,0.3,0.87,0.87,0.01440000000000008
coupled_audit,0.1,0.3,0,1,1,truthful,0.1,0.9099999999999999,0.0,0.05760000000000021
coupled_audit,0.1,0.3,0,1,1,inflated,0.25,0.8875,-0.022499999999999964,0.022500000000000075
coupled_audit,0.1,0.3,0,1,1,deflated,0,0.9,-0.009999999999999898,0.08999999999999997
coupled_audit,0.1,0.3,0,1,1,threshold,0.3,0.87,-0.039999999999999925,0.01440000000000008
coupled_audit,0.1,0.3,0,1,1,best_grid,0.1,0.9099999999999999,0.0,0.05760000000000021
separated_audit,0.1,0.3,0,1,1,truthful,0.1,0.9099999999999999,0.0,0.05760000000000021
separated_audit,0.1,0.3,0,1,1,inflated,0.25,0.8875,-0.022499999999999964,0.022500000000000075
separated_audit,0.1,0.3,0,1,1,deflated,0,0.9,-0.009999999999999898,0.08999999999999997
separated_audit,0.1,0.3,0,1,1,threshold,0.3,1.87,0.9600000000000002,0.01440000000000008
separated_audit,0.1,0.3,0,1,1,best_grid,0.3,1.87,0.9600000000000002,0.01440000000000008
coupled_winner,0.1,0.3,0,1,4,truthful,0.1,0.0,0.0,0.05760000000000021
coupled_winner,0.1,0.3,0,1,4,inflated,0.25,0.0,0.0,0.022500000000000075
coupled_winner,0.1,0.3,0,1,4,deflated,0,0.0,0.0,0.08999999999999997
coupled_winner,0.1,0.3,0,1,4,threshold,0.3,0.87,0.87,0.01440000000000008
