seed,episode,policy,net_value,reward,execution_cost,audit_cost,completed_projects,attempted_projects,pseudo_regret,selected_brier
0,28,random,1.6238814832453974,2.782881483245397,1.1589999999999998,0.0,1,7,12.131661347016493,0.25
0,29,random,11.714207442793109,13.229457442793109,1.5152500000000002,0.0,4,7,12.363623162702261,0.25
0,30,random,15.106210477685561,17.18496047768556,2.0787500000000003,0.0,5,7,12.088374766483643,0.25
0,31,random,14.12869092462548,16.072440924625482,1.9437500000000005,0.0,5,7,8.980912808020443,0.25
0,32,random,-1.6267500000000004,0.0,1.6267500000000004,0.0,0,7,12.151387016079148,0.25
0,33,random,-1.3922500000000002,0.0,1.3922500000000002,0.0,0,6,11.74036817746886,0.25
0,34,random,5.937761182362825,7.336261182362826,1.3985,0.0,2,7,12.700193139011727,0.25
0,35,random,8.913540032081526,10.116540032081526,1.2029999999999998,0.0,3,8,11.838543509914444,0.25
0,36,random,6.537533983498431,8.182783983498432,1.6452500000000005,0.0,2,7,9.328066926702526,0.25
0,37,random,10.00128125854065,11.843031258540652,1.8417500000000004,0.0,3,7,12.317574582518702,0.25
0,38,random,2.459153174909127,4.188153174909127,1.7290000000000003,0.0,1,6,14.202436991949765,0.25
0,39,random,11.847355876531624,13.626855876531625,1.7795000000000003,0.0,4,8,9.811189817802546,0.25
0,40,random,13.922670955783099,15.4681709557831,1.5455000000000003,0.0,4,7,6.175947470243508,0.25
0,41,random,6.590734373914273,8.029734373914273,1.439,0.0,2,7,4.332756617750085,0.25
0,42,random,2.770111793205541,4.248111793205541,1.4780000000000002,0.0,1,6,5.7699700320858796,0.25
0,43,random,5.186549090328649,6.633799090328649,1.4472500000000001,0.0,2,6,6.383615712425429,0.25
0,44,random,6.980202401533586,8.291452401533586,1.3112500000000002,0.0,2,7,4.836954445969939,0.25
0,45,random,2.9659396988225692,4.105939698822569,1.14,0.0,1,8,4.865642297893735,0.25
0,46,random,1.265767237115549,2.690767237115549,1.425,0.0,1,7,5.224984717836245,0.25
0,47,random,2.709824582376239,4.011324582376239,1.3015,0.0,1,7,4.718280004443813,0.25
0,48,random,6.477547235593909,8.00229723559391,1.5247500000000003,0.0,2,7,7.139237506109165,0.25
0,49,random,5.75432635416668,7.60407635416668,1.8497500000000002,0.0,2,7,5.595377335016986,0.25
0,50,random,1.6893422505489746,2.892092250548975,1.2027500000000002,0.0,1,7,4.983522925608946,0.25
0,51,random,9.58525010649197,11.402500106491969,1.81725,0.0,3,6,5.98087821177931,0.25
0,52,random,5.4698102887507565,6.818060288750757,1.34825,0.0,2,8,6.040883863764606,0.25
0,53,random,15.740746950761334,17.445496950761335,1.7047500000000004,0.0,5,8,5.685518607993904,0.25
0,54,random,12.656602628910534,14.681852628910534,2.02525,0.0,4,6,5.7068161831763025,0.25
0,55,random,9.865545516134407,11.621795516134409,1.7562500000000005,0.0,3,7,6.378334962990683,0.25
0,56,random,1.666132339827892,3.3878823398278928,1.7217500000000008,0.0,1,6,5.177728983480491,0.25
0,57,random,9.88344691072758,11.36344691072758,1.4800000000000004,0.0,3,6,5.421964102614743,0.25
0,58,random,3.0214178457692418,4.031667845769242,1.0102499999999999,0.0,1,8,4.305104124431628,0.25
0,59,random,2.062260827148624,3.760010827148624,1.69775,0.0,1,8,4.673710062056321,0.25
0,60,random,-0.63225,0.0,0.63225,0.0,0,6,6.355655428906549,0.25
0,61,random,9.753261212190383,11.040011212190382,1.2867500000000003,0.0,3,8,6.225337085497478,0.25
0,62,random,12.169014596224738,13.750764596224737,1.5817500000000004,0.0,4,7,5.00419190112676,0.25
