distribution,rate,clip,forecaster,target,exact_bias,exact_variance,exact_rmse,mc_bias,mc_rmse,p50,p95,p99,mean_ess,max_weight,top_forecaster_recovery
"[1, 1, 1, 1]",0.02,,0,0.7536951666666667,0.0,0.028320355170254375,0.16828652700158256,-0.006786917162066697,0.17223032654784903,0.7410735109500001,1.044039846075,1.1825728814749998,17.970007959977867,45.833549999999995,0.409
"[1, 1, 1, 1]",0.02,,1,0.7241116666666666,0.0,0.027782912945232673,0.16668207145710864,-0.00500696521801669,0.169934921428093,0.711835884725,1.013304879875,1.16157395495,17.970007959977867,45.833549999999995,0.409
"[1, 1, 1, 1]",0.02,,2,0.7543553551776685,0.0,0.028341673785756687,0.1683498553184905,-0.006217871209242887,0.1728744952957133,0.7414577485749999,1.0421147165499998,1.193497793975,17.970007959977867,45.833549999999995,0.409
"[1, 1, 1, 1]",0.02,10,0,0.7536951666666667,-0.5241643705441699,0.002593499208747586,0.5266324966774395,-0.5260615750000001,0.5286349459055527,0.22604500000000002,0.31656833333333334,0.35980333333333336,18.141,10,0.396
"[1, 1, 1, 1]",0.02,10,1,0.7241116666666666,-0.5036620984870821,0.002542168039319369,0.5061794913780393,-0.5049855116666666,0.5075906255747369,0.216975,0.30837333333333333,0.35153333333333336,18.141,10,0.396
"[1, 1, 1, 1]",0.02,10,2,0.7543553551776685,-0.5245748327267268,0.0025964148796284426,0.5270438027430944,-0.5263095292113658,0.5289046403014244,0.22536833333333334,0.3171070370370371,0.36060833333333336,18.141,10,0.396
"[1, 1, 1, 1]",0.02,50,0,0.7536951666666667,0.0,0.028320355170254375,0.16828652700158256,-0.006786917162066697,0.17223032654784903,0.7410735109500001,1.044039846075,1.1825728814749998,17.970007959977867,45.833549999999995,0.409
"[1, 1, 1, 1]",0.02,50,1,0.7241116666666666,0.0,0.027782912945232673,0.16668207145710864,-0.00500696521801669,0.169934921428093,0.711835884725,1.013304879875,1.16157395495,17.970007959977867,45.833549999999995,0.409
"[1, 1, 1, 1]",0.02,50,2,0.7543553551776685,0.0,0.028341673785756687,0.1683498553184905,-0.006217871209242887,0.1728744952957133,0.7414577485749999,1.0421147165499998,1.193497793975,17.970007959977867,45.833549999999995,0.409
"[1, 1, 1, 1]",0.02,100,0,0.7536951666666667,0.0,0.028320355170254375,0.16828652700158256,-0.006786917162066697,0.17223032654784903,0.7410735109500001,1.044039846075,1.1825728814749998,17.970007959977867,45.833549999999995,0.409
"[1, 1, 1, 1]",0.02,100,1,0.7241116666666666,0.0,0.027782912945232673,0.16668207145710864,-0.00500696521801669,0.169934921428093,0.711835884725,1.013304879875,1.16157395495,17.970007959977867,45.833549999999995,0.409
"[1, 1, 1, 1]",0.02,100,2,0.7543553551776685,0.0,0.028341673785756687,0.1683498553184905,-0.006217871209242887,0.1728744952957133,0.7414577485749999,1.0421147165499998,1.193497793975,17.970007959977867,45.833549999999995,0.409
"[1, 1, 1, 1]",0.1,,0,0.7536951666666667,0.0,0.0026108266357619853,0.05109624874452121,0.0003160824042381938,0.05231815178517532,0.7550093054249999,0.8375916934849998,0.8702390314999998,90.54874588288568,9.166709999999998,0.554
"[1, 1, 1, 1]",0.1,,1,0.7241116666666666,0.0,0.0026292460783354224,0.05127617456807228,0.0009641932226532868,0.051383813617383166,0.7258913492849999,0.8101912553249999,0.8349532883449998,90.54874588288568,9.166709999999998,0.554
"[1, 1, 1, 1]",0.1,,2,0.7543553551776685,0.0,0.0026158237532347985,0.05114512443268467,0.0007483876579820192,0.052392615827595,0.7545483859641593,0.8430072468753881,0.8698050679323609,90.54874588288568,9.166709999999998,0.554
"[1, 1, 1, 1]",0.1,10,0,0.7536951666666667,0.0,0.0026108266357619853,0.05109624874452121,0.0003160824042381938,0.05231815178517532,0.7550093054249999,0.8375916934849998,0.8702390314999998,90.54874588288568,9.166709999999998,0.554
"[1, 1, 1, 1]",0.1,10,1,0.7241116666666666,0.0,0.0026292460783354224,0.05127617456807228,0.0009641932226532868,0.051383813617383166,0.7258913492849999,0.8101912553249999,0.8349532883449998,90.54874588288568,9.166709999999998,0.554
"[1, 1, 1, 1]",0.1,10,2,0.7543553551776685,0.0,0.0026158237532347985,0.05114512443268467,0.0007483876579820192,0.052392615827595,0.7545483859641593,0.8430072468753881,0.8698050679323609,90.54874588288568,9.166709999999998,0.554
"[1, 1, 1, 1]",0.1,50,0,0.7536951666666667,0.0,0.0026108266357619853,0.05109624874452121,0.0003160824042381938,0.05231815178517532,0.7550093054249999,0.8375916934849998,0.8702390314999998,90.54874588288568,9.166709999999998,0.554
"[1, 1, 1, 1]",0.1,50,1,0.7241116666666666,0.0,0.0026292460783354224,0.05127617456807228,0.0009641932226532868,0.051383813617383166,0.7258913492849999,0.8101912553249999,0.8349532883449998,90.54874588288568,9.166709999999998,0.554
"[1, 1, 1, 1]",0.1,50,2,0.7543553551776685,0.0,0.0026158237532347985,0.05114512443268467,0.0007483876579820192,0.052392615827595,0.7545483859641593,0.8430072468753881,0.8698050679323609,90.54874588288568,9.166709999999998,0.554
"[1, 1, 1, 1]",0.1,100,0,0.7536951666666667,0.0,0.0026108266357619853,0.05109624874452121,0.0003160824042381938,0.05231815178517532,0.7550093054249999,0.8375916934849998,0.8702390314999998,90.54874588288568,9.166709999999998,0.554
"[1, 1, 1, 1]",0.1,100,1,0.7241116666666666,0.0,0.0026292460783354224,0.05127617456807228,0.0009641932226532868,0.051383813617383166,0.7258913492849999,0.8101912553249999,0.8349532883449998,90.54874588288568,9.166709999999998,0.554
"[1, 1, 1, 1]",0.1,100,2,0.7543553551776685,0.0,0.0026158237532347985,0.05114512443268467,0.0007483876579820192,0.052392615827595,0.7545483859641593,0.8430072468753881,0.8698050679323609,90.54874588288568,9.166709999999998,0.554
"[1, 2, 4, 8]",0.005,,0,0.7536951666666667,0.0,0.29214654482218566,0.5405058231158899,0.008912676587883306,0.5368187438767119,0.64264878,1.7313389564499997,2.40374305285,2.677296844820938,903.1272000000001,0.194
"[1, 2, 4, 8]",0.005,,1,0.7241116666666666,0.0,0.2774316326760272,0.526717792253145,0.008067259728583354,0.5296395656276469,0.6125958359,1.7483973813499998,2.4877835875999996,2.677296844820938,903.1272000000001,0.194
"[1, 2, 4, 8]",0.005,,2,0.7543553551776685,0.0,0.28742837680577615,0.5361234716049803,0.007910497671046457,0.5324436455599199,0.6441667420499999,1.7366663788,2.3899447044,2.677296844820938,903.1272000000001,0.194
"[1, 2, 4, 8]",0.005,10,0,0.7536951666666667,-0.7100435626532654,0.0005574174171380421,0.7104359776098615,-0.709869525,0.7102507111261018,0.04190166666666666,0.08594333333333334,0.10733999999999999,3.469,10,0.216
"[1, 2, 4, 8]",0.005,10,1,0.7241116666666666,-0.6818137702951439,0.0005613107510734849,0.6822252766609814,-0.6816711616666666,0.6820752742722939,0.04031333333333334,0.08478333333333334,0.10669833333333334,3.469,10,0.216
"[1, 2, 4, 8]",0.005,10,2,0.7543553551776685,-0.7105291544070247,0.0005665830998182426,0.7109277476383797,-0.7104138275891178,0.71079608986606,0.04269333333333333,0.08694333333333333,0.10557,3.469,10,0.216
"[1, 2, 4, 8]",0.005,50,0,0.7536951666666667,-0.5354371465996605,0.013935435428451054,0.5482958812422699,-0.5345669583333333,0.5470786837621664,0.20950833333333332,0.42971666666666664,0.5367,3.469,50,0.216
"[1, 2, 4, 8]",0.005,50,1,0.7241116666666666,-0.5126221848090533,0.01403276877683712,0.5261314219235004,-0.5119091416666666,0.5251939141526283,0.20156666666666667,0.4239166666666667,0.5334916666666667,3.469,50,0.216
"[1, 2, 4, 8]",0.005,50,2,0.7543553551776685,-0.5352243513244496,0.014164577495456064,0.5482970761787208,-0.5346477172349149,0.5472020239554941,0.21346666666666664,0.43471666666666664,0.52785,3.469,50,0.216
"[1, 2, 4, 8]",0.005,100,0,0.7536951666666667,-0.36183184807572,0.04524390864935808,0.4197215683417389,-0.3604771870975,0.417175184721506,0.3716778825,0.7665352937500001,0.9354627426666667,3.4301917397747745,100,0.211
"[1, 2, 4, 8]",0.005,100,1,0.7241116666666666,-0.3445807680472605,0.04535280119608111,0.40507864286348283,-0.3436596768501166,0.4037824376551541,0.36059133860000003,0.7737065397333334,0.9517453327333334,3.4301917397747745,100,0.211
